numtc,step,date,lon,lat,vomax,vmax,pmin,oprel
1,1,1960-05-27 18:00:00,-93.2,17.2,16.65,6.388,1008.97,0.0
1,2,1960-05-28 00:00:00,-92.0,15.8,27.09,11.424,1008.57,0.0
1,3,1960-05-28 06:00:00,-89.4,14.2,20.5,9.205,1008.66,0.0
1,4,1960-05-28 12:00:00,-89.8,11.0,35.66,9.565,1008.89,0.0
1,5,1960-05-28 18:00:00,-91.2,10.8,40.53,9.885,1009.02,0.0
1,6,1960-05-29 00:00:00,-92.2,10.6,23.32,8.422,1009.04,0.0
1,7,1960-05-29 06:00:00,-93.0,10.2,19.9,9.802,1008.72,0.0
1,8,1960-05-29 12:00:00,-94.0,10.4,19.13,10.931,1008.75,0.0
1,9,1960-05-29 18:00:00,-94.6,10.6,16.86,10.401,1008.64,0.0
1,10,1960-05-30 00:00:00,-95.0,10.8,15.1,8.595,1009.25,0.0
1,11,1960-05-30 06:00:00,-93.6,8.2,17.41,9.068,1009.17,0.0
1,12,1960-05-30 12:00:00,-93.4,8.2,30.11,9.659,1009.31,0.0
1,13,1960-05-30 18:00:00,-93.4,8.4,23.73,9.108,1009.11,0.0
1,14,1960-05-31 00:00:00,-91.4,7.2,13.61,7.389,1009.66,0.0
1,15,1960-05-31 06:00:00,-88.0,5.8,25.35,8.062,1010.08,0.0
1,16,1960-05-31 12:00:00,-88.2,5.8,41.17,9.165,1010.23,0.0
1,17,1960-05-31 18:00:00,-88.4,6.0,50.54,8.302,1008.3,0.0
1,18,1960-06-01 00:00:00,-88.6,6.0,31.98,7.736,1009.55,0.0
1,19,1960-06-01 06:00:00,-91.8,5.6,21.66,7.242,1009.81,0.0
1,20,1960-06-01 12:00:00,-93.0,6.2,24.8,7.663,1009.83,0.0
1,21,1960-06-01 18:00:00,-91.0,5.6,27.95,8.464,1009.28,0.0
1,22,1960-06-02 00:00:00,-90.6,5.6,26.19,6.384,1008.71,0.0
1,23,1960-06-02 06:00:00,-93.8,5.4,10.93,7.006,1009.66,0.0
1,24,1960-06-02 12:00:00,-94.0,5.4,15.46,7.332,1009.28,0.0
1,25,1960-06-02 18:00:00,-90.2,5.4,12.5,7.405,1009.16,0.0
1,26,1960-06-03 00:00:00,-87.0,5.8,17.21,7.046,1008.98,0.0
1,27,1960-06-03 06:00:00,-87.2,6.2,16.05,8.424,1009.64,0.0
1,28,1960-06-03 12:00:00,-87.6,6.4,19.86,8.983,1010.5,0.0
1,29,1960-06-03 18:00:00,-87.8,6.4,21.34,8.398,1009.83,0.0
1,30,1960-06-04 00:00:00,-87.8,6.6,24.19,8.162,1009.9,0.0
1,31,1960-06-04 06:00:00,-88.2,6.8,24.86,10.465,1010.37,0.0
1,32,1960-06-04 12:00:00,-91.0,7.0,33.69,11.272,1010.71,0.0
1,33,1960-06-04 18:00:00,-91.0,7.4,43.82,10.445,1010.45,0.0
1,34,1960-06-05 00:00:00,-91.0,7.6,38.31,11.52,1010.4,0.0
1,35,1960-06-05 06:00:00,-90.8,7.8,34.23,11.585,1010.35,0.0
1,36,1960-06-05 12:00:00,-90.6,8.0,44.39,12.204,1010.57,0.0
1,37,1960-06-05 18:00:00,-90.4,8.0,52.98,12.071,1009.8,0.0
1,38,1960-06-06 00:00:00,-90.0,8.2,54.48,12.133,1009.06,0.0
1,39,1960-06-06 06:00:00,-89.4,8.0,53.12,12.025,1008.72,0.0
1,40,1960-06-06 12:00:00,-88.8,8.0,43.79,12.836,1008.96,0.0
1,41,1960-06-06 18:00:00,-88.0,8.0,48.09,12.263,1008.8,0.0
1,42,1960-06-07 00:00:00,-87.2,8.4,45.88,12.933,1008.84,0.0
1,43,1960-06-07 06:00:00,-86.4,8.8,53.13,12.539,1007.84,0.0
1,44,1960-06-07 12:00:00,-85.8,9.0,58.35,13.601,1007.51,0.0
1,45,1960-06-07 18:00:00,-85.6,9.2,72.72,14.101,1005.7,0.0
1,46,1960-06-08 00:00:00,-85.2,9.6,103.49,14.659,1004.97,0.0
1,47,1960-06-08 06:00:00,-85.4,10.0,118.22,13.298,1005.21,0.0
1,48,1960-06-08 12:00:00,-85.8,9.8,92.39,14.701,1003.79,0.0
1,49,1960-06-08 18:00:00,-86.2,9.8,103.39,17.091,1002.6,0.0
1,50,1960-06-09 00:00:00,-86.6,10.4,111.17,21.037,1001.13,1.0
1,51,1960-06-09 06:00:00,-87.0,11.2,116.28,20.503,1000.17,1.0
1,52,1960-06-09 12:00:00,-87.6,11.8,152.19,21.577,999.12,1.0
1,53,1960-06-09 18:00:00,-88.2,12.4,148.79,20.8,998.15,1.0
1,54,1960-06-10 00:00:00,-88.8,13.0,139.18,20.451,1000.64,0.0
1,55,1960-06-10 06:00:00,-89.0,13.6,113.99,17.441,1003.62,0.0
1,56,1960-06-10 12:00:00,-89.4,14.0,85.81,11.908,1005.43,0.0
1,57,1960-06-10 18:00:00,-90.2,14.8,42.08,11.611,1005.58,0.0
1,58,1960-06-11 00:00:00,-90.8,15.8,49.2,12.016,1006.26,0.0
1,59,1960-06-11 06:00:00,-93.0,15.2,48.33,12.105,1007.45,0.0
1,60,1960-06-11 12:00:00,-92.8,16.4,29.84,12.242,1008.68,0.0
1,61,1960-06-11 18:00:00,-91.8,16.8,40.79,9.682,1008.14,0.0
1,62,1960-06-12 00:00:00,-91.6,17.2,60.47,12.07,1008.95,0.0
1,63,1960-06-12 06:00:00,-91.4,17.6,84.88,10.01,1009.26,0.0
1,64,1960-06-12 12:00:00,-91.2,17.8,92.06,13.171,1009.63,0.0
1,65,1960-06-12 18:00:00,-90.8,17.8,60.94,11.434,1009.59,0.0
1,66,1960-06-13 00:00:00,-90.2,17.6,71.29,11.768,1009.88,0.0
1,67,1960-06-13 06:00:00,-90.0,18.4,74.85,13.632,1008.68,0.0
1,68,1960-06-13 12:00:00,-90.6,18.0,57.11,13.031,1008.02,0.0
1,69,1960-06-13 18:00:00,-90.8,18.4,85.64,11.522,1007.24,0.0
1,70,1960-06-14 00:00:00,-91.2,18.4,62.48,13.516,1006.36,0.0
1,71,1960-06-14 06:00:00,-91.8,19.0,64.21,15.116,1005.67,0.0
1,72,1960-06-14 12:00:00,-92.2,19.0,60.99,15.153,1004.63,0.0
1,73,1960-06-14 18:00:00,-92.6,18.8,55.65,14.898,1004.2,0.0
1,74,1960-06-15 00:00:00,-92.8,18.8,82.48,16.539,1004.42,0.0
1,75,1960-06-15 06:00:00,-93.4,19.2,78.37,17.565,1003.49,0.0
1,76,1960-06-15 12:00:00,-93.8,18.8,91.49,20.336,1002.52,0.0
1,77,1960-06-15 18:00:00,-94.4,18.4,79.43,16.311,1004.52,0.0
1,78,1960-06-16 00:00:00,-94.2,18.0,95.66,12.313,1005.52,0.0
1,79,1960-06-16 06:00:00,-94.4,18.0,86.48,12.496,1007.06,0.0
1,80,1960-06-16 12:00:00,-94.2,18.0,79.97,13.974,1007.27,0.0
1,81,1960-06-16 18:00:00,-94.4,18.2,77.88,13.399,1006.88,0.0
1,82,1960-06-17 00:00:00,-94.0,18.2,72.79,11.145,1005.98,0.0
1,83,1960-06-17 06:00:00,-94.0,18.4,86.21,13.275,1006.47,0.0
1,84,1960-06-17 12:00:00,-93.6,18.6,88.08,14.967,1004.89,0.0
1,85,1960-06-17 18:00:00,-93.2,19.4,90.23,19.091,1002.74,0.0
1,86,1960-06-18 00:00:00,-93.6,20.8,103.74,21.07,1000.61,0.0
1,87,1960-06-18 06:00:00,-94.2,21.4,120.2,22.875,998.01,0.0
1,88,1960-06-18 12:00:00,-94.8,21.8,129.4,23.65,995.82,0.0
1,89,1960-06-18 18:00:00,-95.6,22.4,143.36,24.92,994.77,0.0
1,90,1960-06-19 00:00:00,-96.0,22.8,160.83,25.699,993.5,0.0
1,91,1960-06-19 06:00:00,-96.6,23.0,199.56,32.009,989.35,0.0
1,92,1960-06-19 12:00:00,-97.2,23.0,236.8,33.759,983.96,0.0
1,93,1960-06-19 18:00:00,-98.0,23.0,239.17,29.863,992.19,0.0
2,1,1960-06-13 00:00:00,-63.8,10.4,16.89,9.094,1012.53,0.0
2,2,1960-06-13 06:00:00,-63.0,8.4,11.46,10.225,1012.9,0.0
