numtc,step,date,lon,lat,vomax,vmax,pmin,oprel
1,1,1960-06-23 12:00:00,-96.3,24.7,0.0,18.373,0.0,1
1,2,1960-06-23 18:00:00,-96.7,25.5,0.0,20.6696,0.0,1
1,3,1960-06-24 00:00:00,-97.1,26.3,0.0,22.9662,0.0,1
1,4,1960-06-24 06:00:00,-97.5,27.2,0.0,20.6696,1000.0,1
2,1,1960-07-09 12:00:00,-55.8,12.0,0.0,18.373,0.0,1
2,2,1960-07-09 18:00:00,-57.0,12.5,0.0,18.373,0.0,1
2,3,1960-07-10 00:00:00,-58.2,13.0,0.0,20.6696,0.0,1
2,4,1960-07-10 06:00:00,-59.6,13.5,0.0,22.9662,0.0,1
2,5,1960-07-10 12:00:00,-60.9,13.9,0.0,25.2629,1003.0,1
2,6,1960-07-10 18:00:00,-62.3,14.1,0.0,25.2629,1002.0,1
2,7,1960-07-11 00:00:00,-63.5,14.3,0.0,25.2629,0.0,1
2,8,1960-07-11 06:00:00,-64.7,14.5,0.0,27.5595,0.0,1
2,9,1960-07-11 12:00:00,-65.8,14.7,0.0,27.5595,999.0,1
2,10,1960-07-11 18:00:00,-67.3,14.9,0.0,25.2629,1004.0,1
2,11,1960-07-12 00:00:00,-68.9,14.9,0.0,22.9662,1005.0,1
2,12,1960-07-12 06:00:00,-70.4,14.7,0.0,22.9662,1005.0,1
2,13,1960-07-12 12:00:00,-71.9,14.7,0.0,22.9662,1007.0,1
2,14,1960-07-12 18:00:00,-73.2,15.0,0.0,22.9662,1006.0,1
2,15,1960-07-13 00:00:00,-74.3,15.2,0.0,22.9662,1004.0,1
2,16,1960-07-13 06:00:00,-75.4,15.2,0.0,22.9662,1006.0,1
2,17,1960-07-13 12:00:00,-76.7,14.9,0.0,20.6696,1008.0,1
2,18,1960-07-13 18:00:00,-78.1,14.7,0.0,20.6696,1006.0,1
2,19,1960-07-14 00:00:00,-79.5,14.7,0.0,20.6696,1004.0,1
2,20,1960-07-14 06:00:00,-81.0,15.1,0.0,22.9662,0.0,1
2,21,1960-07-14 12:00:00,-82.5,15.6,0.0,25.2629,0.0,1
2,22,1960-07-14 18:00:00,-83.9,15.9,0.0,25.2629,0.0,1
2,23,1960-07-15 00:00:00,-85.2,16.1,0.0,27.5595,995.0,1
2,24,1960-07-15 06:00:00,-86.6,16.3,0.0,32.1527,0.0,1
2,25,1960-07-15 12:00:00,-88.0,16.5,0.0,32.1527,0.0,1
2,26,1960-07-15 18:00:00,-89.4,16.6,0.0,20.6696,0.0,1
3,1,1960-07-29 12:00:00,-81.8,31.5,0.0,25.2629,1000.0,1
3,2,1960-07-29 18:00:00,-79.7,32.8,0.0,27.5595,993.0,1
3,3,1960-07-30 00:00:00,-77.9,34.6,0.0,25.2629,994.0,1
3,4,1960-07-30 06:00:00,-76.5,37.0,0.0,22.9662,993.0,1
3,5,1960-07-30 12:00:00,-75.3,38.7,0.0,22.9662,992.0,1
3,6,1960-07-30 18:00:00,-73.8,40.5,0.0,22.9662,991.0,1
3,7,1960-07-31 00:00:00,-71.5,43.0,0.0,18.373,991.0,1
3,8,1960-08-01 00:00:00,-68.9,58.0,0.0,18.373,977.0,1
3,9,1960-08-01 06:00:00,-69.5,60.5,0.0,20.6696,976.0,1
3,10,1960-08-01 12:00:00,-71.5,61.0,0.0,20.6696,976.0,1
3,11,1960-08-01 18:00:00,-75.0,61.5,0.0,18.373,980.0,1
4,1,1960-08-18 06:00:00,-73.5,25.7,0.0,20.6696,0.0,1
4,2,1960-08-18 12:00:00,-72.7,26.6,0.0,27.5595,997.0,1
4,3,1960-08-18 18:00:00,-71.8,27.8,0.0,29.8561,0.0,1
4,4,1960-08-19 00:00:00,-71.0,29.3,0.0,32.1527,0.0,1
4,5,1960-08-19 06:00:00,-70.2,31.0,0.0,34.4494,0.0,1
4,6,1960-08-19 12:00:00,-69.4,33.1,0.0,34.4494,999.0,1
4,7,1960-08-19 18:00:00,-68.6,35.4,0.0,34.4494,995.0,1
4,8,1960-08-20 00:00:00,-67.8,37.7,0.0,32.1527,997.0,1
4,9,1960-08-20 06:00:00,-66.8,40.0,0.0,32.1527,0.0,1
4,10,1960-08-20 12:00:00,-65.2,42.2,0.0,27.5595,0.0,1
4,11,1960-08-20 18:00:00,-63.4,43.6,0.0,20.6696,0.0,1
5,1,1960-09-01 00:00:00,-36.2,11.7,0.0,18.373,0.0,1
5,2,1960-09-01 06:00:00,-37.8,12.0,0.0,22.9662,0.0,1
5,3,1960-09-01 12:00:00,-39.4,12.3,0.0,25.2629,0.0,1
5,4,1960-09-01 18:00:00,-41.1,12.6,0.0,29.8561,0.0,1
5,5,1960-09-02 00:00:00,-42.8,12.9,0.0,32.1527,0.0,1
5,6,1960-09-02 06:00:00,-44.3,13.3,0.0,34.4494,0.0,1
5,7,1960-09-02 12:00:00,-45.8,13.6,0.0,39.0426,0.0,1
5,8,1960-09-02 18:00:00,-47.6,13.9,0.0,43.6359,973.0,1
5,9,1960-09-03 00:00:00,-49.4,14.3,0.0,45.9325,0.0,1
5,10,1960-09-03 06:00:00,-51.2,14.7,0.0,48.2291,0.0,1
5,11,1960-09-03 12:00:00,-53.1,15.3,0.0,48.2291,962.0,1
5,12,1960-09-03 18:00:00,-55.0,15.9,0.0,48.2291,0.0,1
5,13,1960-09-04 00:00:00,-56.6,16.4,0.0,50.5258,0.0,1
5,14,1960-09-04 06:00:00,-58.2,16.6,0.0,50.5258,0.0,1
5,15,1960-09-04 12:00:00,-59.7,16.9,0.0,50.5258,958.0,1
5,16,1960-09-04 18:00:00,-60.9,17.4,0.0,50.5258,957.0,1
5,17,1960-09-05 00:00:00,-62.1,17.8,0.0,50.5258,956.0,1
5,18,1960-09-05 06:00:00,-63.4,18.3,0.0,50.5258,952.0,1
5,19,1960-09-05 12:00:00,-64.8,19.1,0.0,50.5258,958.0,1
5,20,1960-09-05 18:00:00,-65.8,19.7,0.0,50.5258,956.0,1
5,21,1960-09-06 00:00:00,-66.5,20.1,0.0,52.8224,941.0,1
5,22,1960-09-06 06:00:00,-67.5,20.6,0.0,52.8224,941.0,1
5,23,1960-09-06 12:00:00,-68.3,21.2,0.0,55.119,940.0,1
5,24,1960-09-06 18:00:00,-68.9,21.5,0.0,55.119,940.0,1
5,25,1960-09-07 00:00:00,-69.7,21.8,0.0,57.4156,932.0,1
5,26,1960-09-07 06:00:00,-70.5,22.0,0.0,55.119,940.0,1
5,27,1960-09-07 12:00:00,-71.3,22.1,0.0,50.5258,948.0,1
5,28,1960-09-07 18:00:00,-72.3,22.1,0.0,50.5258,947.0,1
5,29,1960-09-08 00:00:00,-73.4,22.2,0.0,50.5258,945.0,1
5,30,1960-09-08 06:00:00,-74.3,22.2,0.0,48.2291,947.0,1
5,31,1960-09-08 12:00:00,-75.3,22.3,0.0,45.9325,951.0,1
5,32,1960-09-08 18:00:00,-76.1,22.4,0.0,48.2291,945.0,1
5,33,1960-09-09 00:00:00,-76.9,22.6,0.0,50.5258,939.0,1
5,34,1960-09-09 06:00:00,-77.8,22.9,0.0,50.5258,942.0,1
