seuil press, seuil vent, RMSE, Npts ALADIN_rel10_1960_2024, Npts ibtracs_transformed_1960_2024
1010.0, 0.0, 39729.57, 927, 799
1005.0, 0.0, 25472.64, 910, 799
1000.0, 0.0, 20135.83, 850, 799
995.0, 0.0, 18015.75, 745, 799
990.0, 0.0, 19373.39, 656, 799
985.0, 0.0, 20865.25, 571, 799
980.0, 0.0, 22940.49, 492, 799
975.0, 0.0, 25522.54, 426, 799
970.0, 0.0, 27985.49, 377, 799
965.0, 0.0, 29898.26, 338, 799
960.0, 0.0, 31773.43, 298, 799
955.0, 0.0, 33164.95, 252, 799
950.0, 0.0, 34282.12, 217, 799
1010.0, 5.0, 39792.34, 927, 799
1005.0, 5.0, 25472.94, 910, 799
1000.0, 5.0, 20135.83, 850, 799
995.0, 5.0, 18015.75, 745, 799
990.0, 5.0, 19373.39, 656, 799
985.0, 5.0, 20865.25, 571, 799
980.0, 5.0, 22940.49, 492, 799
975.0, 5.0, 25522.54, 426, 799
970.0, 5.0, 27985.49, 377, 799
965.0, 5.0, 29898.26, 338, 799
960.0, 5.0, 31773.43, 298, 799
955.0, 5.0, 33164.95, 252, 799
950.0, 5.0, 34282.12, 217, 799
1010.0, 10.0, 37793.02, 927, 799
1005.0, 10.0, 25234.44, 910, 799
1000.0, 10.0, 20135.83, 850, 799
995.0, 10.0, 18015.75, 745, 799
990.0, 10.0, 19373.39, 656, 799
985.0, 10.0, 20865.25, 571, 799
980.0, 10.0, 22940.49, 492, 799
975.0, 10.0, 25522.54, 426, 799
970.0, 10.0, 27985.49, 377, 799
965.0, 10.0, 29898.26, 338, 799
960.0, 10.0, 31773.43, 298, 799
955.0, 10.0, 33164.95, 252, 799
950.0, 10.0, 34282.12, 217, 799
1010.0, 12.0, 34162.55, 927, 799
1005.0, 12.0, 25156.46, 910, 799
1000.0, 12.0, 20096.63, 850, 799
995.0, 12.0, 18015.75, 745, 799
990.0, 12.0, 19373.39, 656, 799
985.0, 12.0, 20865.25, 571, 799
980.0, 12.0, 22940.49, 492, 799
975.0, 12.0, 25522.54, 426, 799
970.0, 12.0, 27985.49, 377, 799
965.0, 12.0, 29898.26, 338, 799
960.0, 12.0, 31773.43, 298, 799
955.0, 12.0, 33164.95, 252, 799
950.0, 12.0, 34282.12, 217, 799
1010.0, 14.0, 28950.98, 927, 799
1005.0, 14.0, 25175.26, 910, 799
1000.0, 14.0, 20081.41, 850, 799
995.0, 14.0, 18029.42, 745, 799
990.0, 14.0, 19424.03, 656, 799
985.0, 14.0, 20865.25, 571, 799
980.0, 14.0, 22940.49, 492, 799
975.0, 14.0, 25522.54, 426, 799
970.0, 14.0, 27985.49, 377, 799
965.0, 14.0, 29898.26, 338, 799
960.0, 14.0, 31773.43, 298, 799
955.0, 14.0, 33164.95, 252, 799
950.0, 14.0, 34282.12, 217, 799
1010.0, 16.0, 25460.51, 926, 799
1005.0, 16.0, 24399.88, 909, 799
1000.0, 16.0, 20069.11, 850, 799
995.0, 16.0, 18029.42, 745, 799
990.0, 16.0, 19424.03, 656, 799
985.0, 16.0, 20865.25, 571, 799
980.0, 16.0, 22940.49, 492, 799
975.0, 16.0, 25522.54, 426, 799
970.0, 16.0, 27985.49, 377, 799
965.0, 16.0, 29898.26, 338, 799
960.0, 16.0, 31773.43, 298, 799
955.0, 16.0, 33164.95, 252, 799
950.0, 16.0, 34282.12, 217, 799
1010.0, 18.0, 22873.39, 926, 799
1005.0, 18.0, 22790.18, 909, 799
1000.0, 18.0, 19964.38, 850, 799
995.0, 18.0, 18029.42, 745, 799
990.0, 18.0, 19424.03, 656, 799
985.0, 18.0, 20865.25, 571, 799
980.0, 18.0, 22940.49, 492, 799
975.0, 18.0, 25522.54, 426, 799
970.0, 18.0, 27985.49, 377, 799
965.0, 18.0, 29898.26, 338, 799
960.0, 18.0, 31773.43, 298, 799
955.0, 18.0, 33164.95, 252, 799
950.0, 18.0, 34282.12, 217, 799
1010.0, 20.0, 21024.76, 912, 799
1005.0, 20.0, 21118.78, 896, 799
1000.0, 20.0, 19503.30, 847, 799
995.0, 20.0, 18096.54, 745, 799
990.0, 20.0, 19424.03, 656, 799
985.0, 20.0, 20865.25, 571, 799
980.0, 20.0, 22940.49, 492, 799
975.0, 20.0, 25522.54, 426, 799
970.0, 20.0, 27985.49, 377, 799
965.0, 20.0, 29898.26, 338, 799
960.0, 20.0, 31773.43, 298, 799
955.0, 20.0, 33164.95, 252, 799
950.0, 20.0, 34282.12, 217, 799
1010.0, 22.0, 18887.81, 859, 799
1005.0, 22.0, 18557.52, 851, 799
1000.0, 22.0, 18395.11, 824, 799
995.0, 22.0, 18192.32, 742, 799
990.0, 22.0, 19426.25, 655, 799
985.0, 22.0, 20865.25, 571, 799
980.0, 22.0, 22940.49, 492, 799
975.0, 22.0, 25522.54, 426, 799
970.0, 22.0, 27985.49, 377, 799
965.0, 22.0, 29898.26, 338, 799
960.0, 22.0, 31773.43, 298, 799
955.0, 22.0, 33164.95, 252, 799
950.0, 22.0, 34282.12, 217, 799
1010.0, 24.0, 18046.80, 811, 799
1005.0, 24.0, 18113.97, 808, 799
1000.0, 24.0, 17880.24, 792, 799
995.0, 24.0, 18187.13, 727, 799
990.0, 24.0, 19373.59, 652, 799
985.0, 24.0, 20866.02, 571, 799
980.0, 24.0, 22940.62, 491, 799
975.0, 24.0, 25522.54, 426, 799
970.0, 24.0, 27985.49, 377, 799
965.0, 24.0, 29898.26, 338, 799
960.0, 24.0, 31773.43, 298, 799
955.0, 24.0, 33164.95, 252, 799
950.0, 24.0, 34282.12, 217, 799
1010.0, 26.0, 17362.62, 747, 799
1005.0, 26.0, 17340.85, 745, 799
1000.0, 26.0, 17441.65, 739, 799
995.0, 26.0, 18025.86, 701, 799
990.0, 26.0, 19576.74, 647, 799
985.0, 26.0, 20861.33, 568, 799
980.0, 26.0, 22940.62, 491, 799
975.0, 26.0, 25522.54, 426, 799
970.0, 26.0, 27985.49, 377, 799
965.0, 26.0, 29898.26, 338, 799
960.0, 26.0, 31773.43, 298, 799
955.0, 26.0, 33164.95, 252, 799
950.0, 26.0, 34282.12, 217, 799
1010.0, 28.0, 17682.43, 682, 799
1005.0, 28.0, 17705.20, 680, 799
1000.0, 28.0, 17688.46, 679, 799
995.0, 28.0, 18004.96, 666, 799
990.0, 28.0, 19426.79, 631, 799
985.0, 28.0, 20918.58, 567, 799
980.0, 28.0, 22946.19, 490, 799
975.0, 28.0, 25522.54, 426, 799
970.0, 28.0, 27985.49, 377, 799
965.0, 28.0, 29898.26, 338, 799
960.0, 28.0, 31773.43, 298, 799
955.0, 28.0, 33164.95, 252, 799
950.0, 28.0, 34282.12, 217, 799
1010.0, 30.0, 18240.00, 632, 799
1005.0, 30.0, 18302.43, 631, 799
1000.0, 30.0, 18271.19, 630, 799
995.0, 30.0, 18362.41, 624, 799
990.0, 30.0, 19747.42, 605, 799
985.0, 30.0, 20940.54, 562, 799
980.0, 30.0, 22958.65, 490, 799
975.0, 30.0, 25521.43, 426, 799
970.0, 30.0, 27985.49, 377, 799
965.0, 30.0, 29898.26, 338, 799
960.0, 30.0, 31773.43, 298, 799
955.0, 30.0, 33164.95, 252, 799
950.0, 30.0, 34282.12, 217, 799
1010.0, 32.0, 18918.80, 585, 799
1005.0, 32.0, 18918.80, 585, 799
1000.0, 32.0, 18918.80, 585, 799
995.0, 32.0, 18950.51, 582, 799
990.0, 32.0, 19744.43, 571, 799
985.0, 32.0, 20868.82, 547, 799
980.0, 32.0, 22981.45, 487, 799
975.0, 32.0, 25527.19, 426, 799
970.0, 32.0, 27986.39, 377, 799
965.0, 32.0, 29898.26, 338, 799
960.0, 32.0, 31773.43, 298, 799
955.0, 32.0, 33164.95, 252, 799
950.0, 32.0, 34282.12, 217, 799
1010.0, 34.0, 20073.09, 542, 799
1005.0, 34.0, 20073.09, 542, 799
1000.0, 34.0, 20073.09, 542, 799
995.0, 34.0, 20072.76, 541, 799
990.0, 34.0, 20429.33, 537, 799
985.0, 34.0, 21267.40, 523, 799
980.0, 34.0, 23111.54, 479, 799
975.0, 34.0, 25524.82, 424, 799
970.0, 34.0, 27985.70, 376, 799
965.0, 34.0, 29897.98, 338, 799
960.0, 34.0, 31773.43, 298, 799
955.0, 34.0, 33164.95, 252, 799
950.0, 34.0, 34282.12, 217, 799
1005, 28, 18603.55, 680, 799
1005, 28, 18603.55, 680, 799
1005, 26, 19085.81, 791, 799
1005, 26, 22482.19, 791, 799
1005, 26, 21129.04, 791, 799
1005, 26, 20669.41, 745, 799
1005, 26, 20373.67, 682, 799
1005, 26, 21494.20, 682, 566
1005, 26, 20298.31, 682, 621
1005, 26, 43726.66, 682, 368
1005, 26, 40667.26, 682, 130
1005, 26, 40667.26, 682, 130
1005, 26, 40667.26, 682, 130
1005, 26, 40667.26, 682, 130
1005, 26, 40667.26, 682, 130
1005, 26, 40667.26, 682, 130
1005, 26, 40667.26, 682, 130
1005, 26, 40667.26, 682, 130
1005, 26, 40667.26, 682, 130
1005, 26, 40667.26, 682, 130
1005, 26, 26335.67, 682, 336
