numtc,step,date,lon,lat,vmax,pmin
1,1,1994-09-27 00:00:00,-83.4,11.4,18.222,1002.33
1,2,1994-09-27 06:00:00,-83.4,12.2,18.496,1001.92
1,3,1994-09-27 12:00:00,-84.0,13.0,20.566,1000.76
1,4,1994-09-27 18:00:00,-84.8,13.6,21.788,1001.5
1,5,1994-09-28 00:00:00,-85.8,14.8,18.783,1002.24
1,6,1994-09-28 06:00:00,-86.8,15.4,19.242,1002.42
2,1,1994-09-28 18:00:00,-86.8,16.4,22.58,997.84
2,2,1994-09-29 00:00:00,-87.2,17.0,23.716,994.21
2,3,1994-09-29 06:00:00,-87.6,17.8,25.787,990.95
2,4,1994-09-29 12:00:00,-88.0,18.2,24.783,989.9
2,5,1994-09-29 18:00:00,-88.4,18.6,24.086,992.47
2,6,1994-09-30 00:00:00,-88.6,18.8,23.439,994.08
2,7,1994-09-30 06:00:00,-88.8,19.2,21.844,995.93
2,8,1994-09-30 12:00:00,-89.6,20.2,20.593,996.1
2,9,1994-09-30 18:00:00,-90.2,20.2,25.596,994.56
2,10,1994-10-01 00:00:00,-90.2,21.4,24.155,992.26
2,11,1994-10-01 06:00:00,-90.8,21.6,26.492,989.04
2,12,1994-10-01 12:00:00,-90.8,22.6,31.613,983.09
2,13,1994-10-01 18:00:00,-90.6,23.2,39.011,976.46
2,14,1994-10-02 00:00:00,-90.2,24.4,46.425,964.89
2,15,1994-10-02 06:00:00,-90.0,25.2,50.068,954.75
2,16,1994-10-02 12:00:00,-89.6,26.4,51.738,945.72
2,17,1994-10-02 18:00:00,-88.8,27.6,52.798,940.73
2,18,1994-10-03 00:00:00,-88.0,28.8,55.339,938.51
3,1,1994-10-04 18:00:00,-24.0,10.8,21.355,997.25
3,2,1994-10-05 00:00:00,-24.4,11.2,23.938,993.44
3,3,1994-10-05 06:00:00,-24.6,11.8,28.797,989.31
3,4,1994-10-05 12:00:00,-24.6,12.4,32.367,982.22
3,5,1994-10-05 18:00:00,-24.8,13.0,33.475,979.31
3,6,1994-10-06 00:00:00,-24.8,14.0,35.094,977.38
3,7,1994-10-06 06:00:00,-25.0,14.8,34.738,976.8
3,8,1994-10-06 12:00:00,-24.6,15.8,36.391,975.28
3,9,1994-10-06 18:00:00,-24.6,16.6,35.268,974.16
3,10,1994-10-07 00:00:00,-24.2,17.4,37.353,976.39
3,11,1994-10-07 06:00:00,-24.0,18.2,32.591,982.76
3,12,1994-10-07 12:00:00,-23.8,18.6,29.984,985.42
3,13,1994-10-07 18:00:00,-23.4,18.8,28.164,987.8
3,14,1994-10-08 00:00:00,-23.0,18.8,26.199,989.76
3,15,1994-10-08 06:00:00,-22.2,18.6,23.241,992.49
3,16,1994-10-08 12:00:00,-21.0,18.6,22.15,993.68
4,1,1994-10-13 00:00:00,-77.2,13.4,20.654,997.76
4,2,1994-10-13 06:00:00,-77.4,13.4,23.061,996.01
4,3,1994-10-13 12:00:00,-77.6,13.4,23.645,993.39
4,4,1994-10-13 18:00:00,-78.0,13.6,27.949,990.71
4,5,1994-10-14 00:00:00,-78.4,13.6,30.967,986.07
4,6,1994-10-14 06:00:00,-78.6,13.4,33.41,984.26
4,7,1994-10-14 12:00:00,-79.0,13.6,34.243,982.49
4,8,1994-10-14 18:00:00,-79.6,13.6,38.453,977.88
4,9,1994-10-15 00:00:00,-80.2,13.6,41.862,972.52
4,10,1994-10-15 06:00:00,-81.0,13.8,44.222,967.21
4,11,1994-10-15 12:00:00,-81.4,13.8,43.338,966.54
4,12,1994-10-15 18:00:00,-82.0,14.0,45.466,965.63
4,13,1994-10-16 00:00:00,-82.6,14.2,45.578,963.58
4,14,1994-10-16 06:00:00,-83.2,14.4,39.159,973.78
4,15,1994-10-16 12:00:00,-83.8,14.6,27.855,987.55
5,1,1994-11-10 18:00:00,-64.4,22.4,18.859,1004.42
5,2,1994-11-11 00:00:00,-64.6,23.2,19.119,1002.41
5,3,1994-11-11 06:00:00,-64.6,24.2,18.705,1002.98
5,4,1994-11-11 12:00:00,-64.2,25.0,18.598,1001.71
6,1,1994-11-10 18:00:00,-88.6,28.2,17.654,1002.17
6,2,1994-11-11 00:00:00,-88.6,28.0,18.315,1000.89
6,3,1994-11-11 06:00:00,-88.2,27.4,19.72,999.34
6,4,1994-11-11 12:00:00,-88.0,27.4,20.158,997.13
6,5,1994-11-11 18:00:00,-88.0,27.4,21.258,997.78
6,6,1994-11-12 00:00:00,-87.8,27.6,22.274,998.01
