numtc,step,date,lon,lat,vmax,pmin
1,1,1986-05-29 18:00:00,-90.2,11.6,18.614,1003.66
1,2,1986-05-30 00:00:00,-90.4,12.2,22.938,999.9
1,3,1986-05-30 06:00:00,-91.0,12.6,27.51,993.29
1,4,1986-05-30 12:00:00,-92.0,13.0,31.676,986.15
1,5,1986-05-30 18:00:00,-92.8,13.4,31.368,987.66
1,6,1986-05-31 00:00:00,-93.6,13.6,31.287,986.3
1,7,1986-05-31 06:00:00,-94.2,13.8,32.188,984.35
1,8,1986-05-31 12:00:00,-94.6,13.8,34.101,979.99
1,9,1986-05-31 18:00:00,-94.8,14.0,38.217,973.85
1,10,1986-06-01 00:00:00,-95.0,14.2,41.707,966.57
1,11,1986-06-01 06:00:00,-95.4,14.6,40.255,967.67
1,12,1986-06-01 12:00:00,-96.0,15.0,35.782,977.61
2,1,1986-07-03 18:00:00,-93.6,11.0,24.34,999.54
2,2,1986-07-04 00:00:00,-94.8,11.4,29.606,993.67
2,3,1986-07-04 06:00:00,-95.8,11.6,36.205,988.11
2,4,1986-07-04 12:00:00,-96.8,12.0,35.833,986.63
2,5,1986-07-04 18:00:00,-97.8,12.2,34.962,986.77
2,6,1986-07-05 00:00:00,-98.6,12.8,35.859,987.3
2,7,1986-07-05 06:00:00,-99.6,13.2,38.44,985.57
3,1,1986-08-11 00:00:00,-73.2,28.2,17.433,1013.29
3,2,1986-08-11 06:00:00,-73.6,28.6,18.663,1010.84
3,3,1986-08-11 12:00:00,-73.8,29.0,20.038,1008.2
3,4,1986-08-11 18:00:00,-74.2,29.4,21.974,1004.98
4,1,1986-08-17 18:00:00,-91.4,13.4,20.12,1003.6
4,2,1986-08-18 00:00:00,-92.2,14.0,18.846,1004.95
4,3,1986-08-18 06:00:00,-93.2,14.6,19.359,1005.89
4,4,1986-08-18 12:00:00,-94.4,15.0,18.688,1005.99
5,1,1986-08-21 12:00:00,-58.8,24.4,25.477,997.23
5,2,1986-08-21 18:00:00,-59.8,23.6,25.88,995.66
5,3,1986-08-22 00:00:00,-60.8,23.0,27.674,992.53
5,4,1986-08-22 06:00:00,-62.0,22.4,28.073,991.61
5,5,1986-08-22 12:00:00,-63.0,22.0,29.624,990.02
6,1,1986-08-23 00:00:00,-65.0,21.8,27.005,991.01
6,2,1986-08-23 06:00:00,-65.8,21.8,26.744,990.81
6,3,1986-08-23 12:00:00,-67.0,21.8,28.888,987.34
6,4,1986-08-23 18:00:00,-68.0,21.8,33.329,982.48
6,5,1986-08-24 00:00:00,-69.0,21.8,38.512,971.73
6,6,1986-08-24 06:00:00,-69.8,21.8,37.755,975.04
6,7,1986-08-24 12:00:00,-70.8,21.6,39.046,973.63
6,8,1986-08-24 18:00:00,-71.2,21.6,41.736,972.4
6,9,1986-08-25 00:00:00,-71.6,22.0,47.809,963.88
6,10,1986-08-25 06:00:00,-72.0,22.6,48.068,963.42
6,11,1986-08-25 12:00:00,-72.4,23.4,48.003,960.0
6,12,1986-08-25 18:00:00,-72.8,24.2,50.761,957.06
6,13,1986-08-26 00:00:00,-73.4,25.0,51.061,955.42
6,14,1986-08-26 06:00:00,-73.6,25.8,52.561,953.87
6,15,1986-08-26 12:00:00,-74.0,26.4,56.382,949.41
6,16,1986-08-26 18:00:00,-74.2,27.0,58.754,946.48
6,17,1986-08-27 00:00:00,-74.6,27.6,58.497,942.84
6,18,1986-08-27 06:00:00,-75.0,28.0,57.226,943.46
6,19,1986-08-27 12:00:00,-75.2,28.2,58.139,942.08
6,20,1986-08-27 18:00:00,-75.4,28.8,59.412,940.23
6,21,1986-08-28 00:00:00,-75.4,29.6,61.857,932.55
7,1,1986-09-02 12:00:00,-3.0,17.0,26.719,988.25
7,2,1986-09-02 18:00:00,-4.2,17.6,28.296,987.45
7,3,1986-09-03 00:00:00,-5.2,18.0,29.857,985.44
7,4,1986-09-03 06:00:00,-6.2,18.6,33.191,983.65
7,5,1986-09-03 12:00:00,-7.0,19.0,31.816,982.56
7,6,1986-09-03 18:00:00,-8.4,19.4,32.007,982.36
7,7,1986-09-04 00:00:00,-9.4,19.4,29.931,984.8
7,8,1986-09-04 06:00:00,-10.4,19.6,29.949,983.77
7,9,1986-09-04 12:00:00,-11.2,20.0,33.251,982.82
7,10,1986-09-04 18:00:00,-12.8,20.6,26.871,989.18
7,11,1986-09-05 00:00:00,-14.4,21.0,26.445,992.64
7,12,1986-09-05 06:00:00,-16.4,21.4,25.752,994.06
7,13,1986-09-05 12:00:00,-18.2,21.4,25.414,996.2
7,14,1986-09-05 18:00:00,-20.2,21.4,21.541,999.96
7,15,1986-09-06 00:00:00,-22.0,21.6,21.175,1001.08
7,16,1986-09-06 06:00:00,-24.0,21.6,20.409,1002.63
7,17,1986-09-06 12:00:00,-25.8,21.4,19.442,1003.37
7,18,1986-09-06 18:00:00,-27.6,21.6,18.713,1004.97
7,19,1986-09-07 00:00:00,-29.2,21.8,17.512,1005.63
7,20,1986-09-07 06:00:00,-30.8,22.2,17.815,1006.83
7,21,1986-09-07 12:00:00,-32.4,22.8,19.306,1005.6
7,22,1986-09-07 18:00:00,-33.8,23.2,18.467,1006.1
7,23,1986-09-08 00:00:00,-34.8,23.8,17.984,1005.93
7,24,1986-09-08 06:00:00,-36.0,24.4,18.334,1006.24
7,25,1986-09-08 12:00:00,-36.8,25.0,18.451,1005.15
7,26,1986-09-08 18:00:00,-37.2,25.6,18.075,1005.42
7,27,1986-09-09 00:00:00,-37.4,26.2,17.276,1006.06
7,28,1986-09-09 06:00:00,-37.2,26.8,17.571,1007.39
8,1,1986-09-03 06:00:00,-65.0,21.8,19.687,1002.76
8,2,1986-09-03 12:00:00,-65.8,22.2,23.774,998.53
8,3,1986-09-03 18:00:00,-66.4,22.8,26.814,995.65
8,4,1986-09-04 00:00:00,-67.0,23.6,32.256,989.24
8,5,1986-09-04 06:00:00,-67.4,24.2,30.324,989.73
