numtc,step,date,lon,lat,vomax,vmax,pmin,oprel
1,1,2014-04-28 00:00:00,-92.6,17.4,20.59,14.077,1003.2,0.0
1,2,2014-04-28 06:00:00,-86.8,13.8,13.42,7.551,1008.66,0.0
1,3,2014-04-28 12:00:00,-84.8,10.2,14.99,9.437,1009.59,0.0
1,4,2014-04-28 18:00:00,-84.4,10.2,16.25,8.752,1007.02,0.0
1,5,2014-04-29 00:00:00,-84.6,10.2,15.99,8.268,1006.53,0.0
1,6,2014-04-29 06:00:00,-84.6,10.2,15.04,8.279,1008.07,0.0
1,7,2014-04-29 12:00:00,-84.6,10.2,15.23,8.47,1009.15,0.0
1,8,2014-04-29 18:00:00,-84.4,10.2,23.29,7.651,1007.31,0.0
1,9,2014-04-30 00:00:00,-84.6,10.2,20.28,7.695,1007.64,0.0
1,10,2014-04-30 06:00:00,-84.6,10.2,14.86,7.443,1008.71,0.0
1,11,2014-04-30 12:00:00,-84.6,10.2,13.75,8.249,1009.88,0.0
1,12,2014-04-30 18:00:00,-84.4,10.2,24.77,8.058,1007.51,0.0
1,13,2014-05-01 00:00:00,-84.6,10.2,23.79,8.576,1009.03,0.0
1,14,2014-05-01 06:00:00,-84.6,10.2,16.47,8.243,1008.97,0.0
1,15,2014-05-01 12:00:00,-84.8,10.2,15.72,9.219,1010.28,0.0
1,16,2014-05-01 18:00:00,-84.4,10.2,16.82,8.997,1008.48,0.0
1,17,2014-05-02 00:00:00,-84.6,10.2,18.21,8.268,1007.1,0.0
1,18,2014-05-02 06:00:00,-84.8,10.2,16.97,8.593,1009.31,0.0
1,19,2014-05-02 12:00:00,-84.6,10.2,17.81,8.917,1009.99,0.0
1,20,2014-05-02 18:00:00,-84.6,10.2,22.44,8.226,1008.11,0.0
1,21,2014-05-03 00:00:00,-84.8,10.0,19.99,6.862,1008.58,0.0
1,22,2014-05-03 06:00:00,-84.6,10.2,17.51,7.187,1009.97,0.0
1,23,2014-05-03 12:00:00,-84.6,10.2,15.12,10.113,1011.29,0.0
