numtc,step,date,lon,lat,vmax,pmin
1,1,1987-03-28 00:00:00,-51.8,28.0,20.083,996.37
1,2,1987-03-28 06:00:00,-50.8,26.0,20.495,995.66
1,3,1987-03-28 12:00:00,-49.0,25.0,21.172,996.67
1,4,1987-03-28 18:00:00,-47.4,24.6,20.419,994.95
1,5,1987-03-29 00:00:00,-46.0,24.6,21.76,992.59
1,6,1987-03-29 06:00:00,-45.2,25.2,22.378,987.46
1,7,1987-03-29 12:00:00,-45.0,25.2,26.584,987.57
1,8,1987-03-29 18:00:00,-44.8,25.0,25.775,985.81
1,9,1987-03-30 00:00:00,-44.6,24.6,23.313,990.3
1,10,1987-03-30 06:00:00,-44.0,24.0,20.695,993.33
1,11,1987-03-30 12:00:00,-43.4,24.2,20.351,997.88
1,12,1987-03-30 18:00:00,-42.0,25.8,21.295,998.51
1,13,1987-03-31 00:00:00,-41.4,27.6,23.074,997.61
2,1,1987-05-18 06:00:00,-93.2,22.0,10.374,1009.47
2,2,1987-05-18 12:00:00,-91.4,18.0,8.706,1009.54
2,3,1987-05-18 18:00:00,-89.0,14.0,6.603,1008.88
2,4,1987-05-19 00:00:00,-84.6,10.2,8.984,1008.25
2,5,1987-05-19 06:00:00,-81.6,10.0,8.087,1008.54
2,6,1987-05-19 12:00:00,-81.6,10.4,9.035,1007.51
2,7,1987-05-19 18:00:00,-82.0,10.6,8.917,1007.64
2,8,1987-05-20 00:00:00,-82.6,11.0,9.783,1006.78
2,9,1987-05-20 06:00:00,-83.2,11.0,10.287,1006.83
2,10,1987-05-20 12:00:00,-83.8,10.8,9.927,1006.33
2,11,1987-05-20 18:00:00,-84.2,10.6,8.649,1006.76
2,12,1987-05-21 00:00:00,-84.8,11.0,8.772,1005.83
2,13,1987-05-21 06:00:00,-84.8,10.8,9.457,1006.17
2,14,1987-05-21 12:00:00,-85.4,10.6,10.234,1005.36
2,15,1987-05-21 18:00:00,-86.0,10.2,12.539,1004.92
2,16,1987-05-22 00:00:00,-85.6,10.2,13.026,1004.44
