numtc,step,date,lon,lat,vmax,pmin
1,1,1978-01-01 12:00:00,-40.4,26.8,15.674,1000.92
1,2,1978-01-01 18:00:00,-39.6,26.6,20.015,1000.06
1,3,1978-01-02 00:00:00,-39.4,26.4,25.425,994.89
1,4,1978-01-02 06:00:00,-38.6,26.0,20.638,994.47
1,5,1978-01-02 12:00:00,-37.8,25.8,20.851,992.54
1,6,1978-01-02 18:00:00,-36.8,25.8,22.282,992.95
1,7,1978-01-03 00:00:00,-36.0,26.0,22.59,989.79
1,8,1978-01-03 06:00:00,-35.6,26.2,25.908,988.23
1,9,1978-01-03 12:00:00,-35.0,26.2,28.433,983.79
1,10,1978-01-03 18:00:00,-34.0,26.0,31.125,981.36
1,11,1978-01-04 00:00:00,-32.6,26.2,33.693,978.46
1,12,1978-01-04 06:00:00,-31.2,26.6,34.962,979.17
1,13,1978-01-04 12:00:00,-29.8,27.2,36.043,976.86
1,14,1978-01-04 18:00:00,-28.2,27.8,39.401,976.31
1,15,1978-01-05 00:00:00,-26.0,29.2,40.084,974.77
2,1,1978-01-09 18:00:00,-41.4,18.4,8.026,1014.74
2,2,1978-01-10 00:00:00,-41.8,18.6,7.769,1012.81
2,3,1978-01-10 06:00:00,-41.6,18.8,6.913,1013.55
2,4,1978-01-10 12:00:00,-40.2,18.8,7.358,1012.45
2,5,1978-01-10 18:00:00,-39.6,19.4,10.022,1013.0
2,6,1978-01-11 00:00:00,-39.4,19.6,9.799,1011.07
2,7,1978-01-11 06:00:00,-37.8,19.6,8.967,1011.66
2,8,1978-01-11 12:00:00,-36.2,17.0,10.298,1010.63
2,9,1978-01-11 18:00:00,-35.4,16.2,12.516,1012.2
2,10,1978-01-12 00:00:00,-34.2,18.6,11.309,1010.21
2,11,1978-01-12 06:00:00,-33.4,20.2,14.548,1010.4
2,12,1978-01-12 12:00:00,-32.6,22.2,17.063,1007.21
2,13,1978-01-12 18:00:00,-31.0,22.2,16.09,1009.64
2,14,1978-01-13 00:00:00,-29.8,20.8,17.853,1008.38
2,15,1978-01-13 06:00:00,-29.4,23.2,18.788,1004.19
2,16,1978-01-13 12:00:00,-30.2,25.2,16.478,1005.83
2,17,1978-01-13 18:00:00,-28.2,25.6,15.746,1009.32
2,18,1978-01-14 00:00:00,-26.8,25.8,13.554,1010.81
2,19,1978-01-14 06:00:00,-27.4,26.8,15.677,1010.77
2,20,1978-01-14 12:00:00,-31.6,27.8,16.911,1006.47
2,21,1978-01-14 18:00:00,-36.0,27.0,16.255,1008.23
2,22,1978-01-15 00:00:00,-37.2,26.8,18.488,1006.33
2,23,1978-01-15 06:00:00,-38.6,26.6,20.782,1005.49
2,24,1978-01-15 12:00:00,-39.6,25.6,22.997,1001.77
2,25,1978-01-15 18:00:00,-40.4,25.0,23.727,1001.52
2,26,1978-01-16 00:00:00,-41.2,24.4,20.954,1000.58
2,27,1978-01-16 06:00:00,-42.0,24.0,19.918,1001.95
2,28,1978-01-16 12:00:00,-43.0,23.6,20.543,1000.62
2,29,1978-01-16 18:00:00,-43.8,23.4,21.424,1001.41
2,30,1978-01-17 00:00:00,-44.6,23.4,21.555,1000.07
2,31,1978-01-17 06:00:00,-45.4,23.0,22.33,1000.81
2,32,1978-01-17 12:00:00,-46.0,22.8,22.412,999.89
2,33,1978-01-17 18:00:00,-46.8,22.4,21.54,1001.12
2,34,1978-01-18 00:00:00,-47.8,22.2,20.049,1001.19
2,35,1978-01-18 06:00:00,-48.2,23.0,19.163,1002.68
2,36,1978-01-18 12:00:00,-48.6,23.6,18.269,1001.63
2,37,1978-01-18 18:00:00,-49.4,24.4,21.232,1001.34
2,38,1978-01-19 00:00:00,-50.6,25.0,20.825,997.51
2,39,1978-01-19 06:00:00,-51.6,25.6,23.101,998.26
2,40,1978-01-19 12:00:00,-52.8,25.8,22.579,995.45
2,41,1978-01-19 18:00:00,-53.2,25.6,23.092,995.55
2,42,1978-01-20 00:00:00,-53.2,25.4,23.278,994.97
2,43,1978-01-20 06:00:00,-53.4,25.2,24.918,995.32
2,44,1978-01-20 12:00:00,-53.8,25.0,27.789,991.77
2,45,1978-01-20 18:00:00,-54.4,25.0,29.873,990.89
2,46,1978-01-21 00:00:00,-55.6,25.0,31.31,990.48
2,47,1978-01-21 06:00:00,-56.2,25.0,34.044,989.77
2,48,1978-01-21 12:00:00,-57.0,25.2,36.174,988.49
2,49,1978-01-21 18:00:00,-57.8,25.6,34.935,991.51
2,50,1978-01-22 00:00:00,-58.4,25.8,31.96,993.36
2,51,1978-01-22 06:00:00,-59.2,25.8,26.76,1000.22
2,52,1978-01-22 12:00:00,-60.0,26.0,22.777,1004.28
2,53,1978-01-22 18:00:00,-60.4,26.2,20.156,1008.01
2,54,1978-01-23 00:00:00,-61.0,26.2,18.359,1009.4
2,55,1978-01-23 06:00:00,-61.4,26.2,17.463,1011.03
2,56,1978-01-23 12:00:00,-61.0,26.8,17.066,1010.84
2,57,1978-01-23 18:00:00,-61.2,27.2,16.759,1011.7
2,58,1978-01-24 00:00:00,-61.0,27.6,15.985,1011.15
2,59,1978-01-24 06:00:00,-60.6,28.2,16.597,1011.3
2,60,1978-01-24 12:00:00,-60.0,28.4,18.31,1007.59
2,61,1978-01-24 18:00:00,-59.0,28.8,19.913,1008.2
3,1,1978-05-28 18:00:00,-84.6,7.8,9.136,1009.48
3,2,1978-05-29 00:00:00,-80.2,7.6,7.566,1010.49
3,3,1978-05-29 06:00:00,-79.4,7.8,7.151,1010.27
3,4,1978-05-29 12:00:00,-79.4,8.2,8.101,1011.1
3,5,1978-05-29 18:00:00,-79.8,8.6,8.737,1010.55
3,6,1978-05-30 00:00:00,-80.2,8.6,7.632,1011.0
3,7,1978-05-30 06:00:00,-80.4,8.8,7.046,1010.37
3,8,1978-05-30 12:00:00,-80.6,8.8,8.407,1011.18
3,9,1978-05-30 18:00:00,-80.8,8.8,9.463,1010.29
3,10,1978-05-31 00:00:00,-81.0,8.6,9.885,1010.32
3,11,1978-05-31 06:00:00,-81.4,8.4,10.716,1009.92
3,12,1978-05-31 12:00:00,-81.8,8.4,11.147,1010.68
3,13,1978-05-31 18:00:00,-85.6,7.6,11.683,1009.41
3,14,1978-06-01 00:00:00,-86.6,7.6,13.561,1008.7
3,15,1978-06-01 06:00:00,-85.6,8.4,14.926,1007.65
3,16,1978-06-01 12:00:00,-86.0,9.0,14.818,1007.1
3,17,1978-06-01 18:00:00,-86.8,9.0,17.758,1005.06
3,18,1978-06-02 00:00:00,-87.4,9.2,20.706,1002.88
3,19,1978-06-02 06:00:00,-88.4,9.4,21.511,1000.41
3,20,1978-06-02 12:00:00,-89.6,9.8,24.546,998.46
3,21,1978-06-02 18:00:00,-90.6,10.0,23.839,998.21
3,22,1978-06-03 00:00:00,-91.4,10.4,24.353,998.57
3,23,1978-06-03 06:00:00,-92.4,11.2,24.655,998.82
3,24,1978-06-03 12:00:00,-93.4,12.2,26.782,997.03
3,25,1978-06-03 18:00:00,-94.8,13.2,25.704,996.44
3,26,1978-06-04 00:00:00,-96.0,14.0,25.997,996.95
3,27,1978-06-04 06:00:00,-97.0,14.8,26.341,998.17
3,28,1978-06-04 12:00:00,-97.8,16.0,18.586,1004.15
3,29,1978-06-04 18:00:00,-98.6,17.0,10.126,1010.7
3,30,1978-06-05 00:00:00,-97.0,20.2,8.987,1010.73
3,31,1978-06-05 06:00:00,-97.0,20.0,8.788,1011.76
3,32,1978-06-05 12:00:00,-97.0,20.2,9.314,1011.34
4,1,1978-08-03 00:00:00,-73.0,19.8,11.23,1012.67
4,2,1978-08-03 06:00:00,-78.8,19.8,12.305,1012.7
4,3,1978-08-03 12:00:00,-81.0,19.8,12.062,1012.01
4,4,1978-08-03 18:00:00,-82.8,19.4,12.773,1010.47
4,5,1978-08-04 00:00:00,-84.2,19.2,14.626,1009.53
4,6,1978-08-04 06:00:00,-85.4,19.0,15.062,1008.23
4,7,1978-08-04 12:00:00,-86.6,18.8,15.396,1006.21
4,8,1978-08-04 18:00:00,-87.4,18.8,14.369,1005.49
4,9,1978-08-05 00:00:00,-88.2,19.2,11.022,1007.99
4,10,1978-08-05 06:00:00,-89.0,19.4,10.363,1008.3
4,11,1978-08-05 12:00:00,-90.0,19.8,11.0,1008.77
4,12,1978-08-05 18:00:00,-91.6,20.8,13.722,1008.53
4,13,1978-08-06 00:00:00,-92.4,21.0,13.352,1008.86
4,14,1978-08-06 06:00:00,-93.0,21.4,12.127,1008.28
4,15,1978-08-06 12:00:00,-93.8,21.2,12.886,1007.68
4,16,1978-08-06 18:00:00,-94.2,22.0,15.992,1005.94
4,17,1978-08-07 00:00:00,-95.4,22.2,17.047,1004.97
4,18,1978-08-07 06:00:00,-95.6,22.2,19.111,1001.28
4,19,1978-08-07 12:00:00,-96.2,22.4,25.62,995.98
