numtc,step,date,lon,lat,vmax,pmin
1,1,1974-01-03 18:00:00,-53.6,21.6,17.214,1006.69
1,2,1974-01-04 00:00:00,-54.4,22.2,19.93,1005.1
1,3,1974-01-04 06:00:00,-56.0,22.6,22.587,1004.1
1,4,1974-01-04 12:00:00,-57.4,22.8,21.456,999.41
1,5,1974-01-04 18:00:00,-58.2,23.0,22.149,997.98
1,6,1974-01-05 00:00:00,-58.8,23.6,25.748,994.1
1,7,1974-01-05 06:00:00,-59.0,24.2,27.263,991.11
1,8,1974-01-05 12:00:00,-58.8,25.0,31.774,983.91
1,9,1974-01-05 18:00:00,-58.4,25.6,33.821,979.38
1,10,1974-01-06 00:00:00,-57.8,25.8,36.586,973.89
1,11,1974-01-06 06:00:00,-57.2,26.2,38.975,972.8
1,12,1974-01-06 12:00:00,-56.6,26.2,37.57,971.15
1,13,1974-01-06 18:00:00,-56.0,26.2,37.504,973.68
1,14,1974-01-07 00:00:00,-55.8,26.0,35.611,974.53
1,15,1974-01-07 06:00:00,-56.0,25.8,34.687,977.27
1,16,1974-01-07 12:00:00,-56.4,25.8,34.022,977.51
1,17,1974-01-07 18:00:00,-57.0,25.8,36.383,978.02
1,18,1974-01-08 00:00:00,-57.6,26.0,38.562,975.31
1,19,1974-01-08 06:00:00,-58.0,26.0,39.98,974.27
1,20,1974-01-08 12:00:00,-58.6,25.8,41.752,973.36
1,21,1974-01-08 18:00:00,-59.2,25.4,40.507,976.82
1,22,1974-01-09 00:00:00,-59.8,24.8,38.341,979.47
1,23,1974-01-09 06:00:00,-60.4,23.8,37.176,981.4
1,24,1974-01-09 12:00:00,-61.2,22.6,36.799,982.03
1,25,1974-01-09 18:00:00,-62.2,21.4,38.835,985.15
1,26,1974-01-10 00:00:00,-63.4,20.6,36.677,989.0
2,1,1974-05-14 18:00:00,-59.2,29.6,25.764,999.18
2,2,1974-05-15 00:00:00,-59.2,29.6,26.96,998.67
2,3,1974-05-15 06:00:00,-59.0,29.4,24.519,1001.12
2,4,1974-05-15 12:00:00,-59.2,29.2,23.724,1001.6
3,1,1974-06-17 18:00:00,-89.8,11.2,23.329,994.42
3,2,1974-06-18 00:00:00,-90.0,11.8,27.966,988.5
3,3,1974-06-18 06:00:00,-90.4,12.0,29.369,984.89
