numtc,step,date,lon,lat,vomax,vmax,pmin,oprel
1,1,2000-01-26 12:00:00,-31.2,27.4,73.6,20.474,1005.35,0.0
1,2,2000-01-26 18:00:00,-30.4,26.2,70.33,18.159,1002.74,0.0
1,3,2000-01-27 00:00:00,-29.0,25.6,76.87,19.66,1001.0,0.0
1,4,2000-01-27 06:00:00,-27.4,25.6,99.75,24.796,995.09,0.0
1,5,2000-01-27 12:00:00,-26.0,26.6,137.99,27.336,990.31,1.0
1,6,2000-01-27 18:00:00,-25.2,28.0,182.29,26.881,985.8,1.0
1,7,2000-01-28 00:00:00,-25.0,28.8,169.08,29.531,983.65,1.0
1,8,2000-01-28 06:00:00,-24.0,29.6,145.91,28.411,985.02,1.0
2,1,2000-06-10 12:00:00,-79.8,24.2,10.04,9.296,1015.06,0.0
2,2,2000-06-10 18:00:00,-79.6,24.4,25.61,9.363,1016.38,0.0
2,3,2000-06-11 00:00:00,-81.0,25.2,38.59,11.605,1015.57,0.0
2,4,2000-06-11 06:00:00,-81.8,25.4,36.35,12.283,1014.41,0.0
2,5,2000-06-11 12:00:00,-83.2,26.2,33.05,14.171,1013.2,0.0
2,6,2000-06-11 18:00:00,-84.8,27.0,44.77,15.674,1013.42,0.0
2,7,2000-06-12 00:00:00,-86.6,27.2,55.27,15.201,1012.09,0.0
2,8,2000-06-12 06:00:00,-88.0,27.4,55.93,15.484,1011.46,0.0
2,9,2000-06-12 12:00:00,-89.8,27.8,63.78,17.585,1009.96,1.0
2,10,2000-06-12 18:00:00,-91.4,27.8,79.22,19.359,1009.42,1.0
2,11,2000-06-13 00:00:00,-92.8,28.0,70.12,18.434,1008.57,1.0
2,12,2000-06-13 06:00:00,-94.0,28.0,61.59,18.06,1008.24,1.0
2,13,2000-06-13 12:00:00,-95.2,28.2,63.27,17.968,1007.61,1.0
2,14,2000-06-13 18:00:00,-95.4,28.8,79.15,18.874,1007.56,0.0
2,15,2000-06-14 00:00:00,-95.8,29.4,57.34,12.809,1009.47,0.0
3,1,2000-07-29 12:00:00,-1.6,17.4,139.64,22.024,994.62,1.0
3,2,2000-07-29 18:00:00,-3.0,18.2,136.67,22.969,995.27,1.0
3,3,2000-07-30 00:00:00,-4.4,18.8,167.1,23.799,993.36,1.0
3,4,2000-07-30 06:00:00,-5.6,19.4,201.58,27.713,990.26,1.0
3,5,2000-07-30 12:00:00,-7.2,19.8,178.95,23.229,992.65,1.0
3,6,2000-07-30 18:00:00,-8.4,20.4,126.81,21.109,997.92,1.0
3,7,2000-07-31 00:00:00,-9.8,21.0,155.51,22.764,996.94,1.0
3,8,2000-07-31 06:00:00,-10.8,21.4,176.77,24.58,994.3,1.0
3,9,2000-07-31 12:00:00,-12.0,22.2,166.48,21.867,997.24,1.0
3,10,2000-07-31 18:00:00,-13.8,23.0,138.35,21.494,999.24,0.0
3,11,2000-08-01 00:00:00,-15.4,24.2,121.01,22.085,1001.41,0.0
3,12,2000-08-01 06:00:00,-17.4,24.4,88.59,19.459,1003.4,0.0
3,13,2000-08-01 12:00:00,-19.4,24.8,68.41,16.795,1005.89,0.0
3,14,2000-08-01 18:00:00,-21.0,25.2,54.8,16.909,1007.18,0.0
3,15,2000-08-02 00:00:00,-22.4,25.4,40.41,14.825,1009.32,0.0
3,16,2000-08-02 06:00:00,-23.8,25.8,29.06,13.659,1010.14,0.0
3,17,2000-08-02 12:00:00,-25.4,25.8,23.56,12.735,1012.49,0.0
3,18,2000-08-02 18:00:00,-26.8,26.0,20.29,12.218,1013.26,0.0
3,19,2000-08-03 00:00:00,-28.2,26.0,17.87,10.709,1014.89,0.0
3,20,2000-08-03 06:00:00,-29.2,26.2,16.52,10.13,1015.13,0.0
3,21,2000-08-03 12:00:00,-30.6,23.8,17.45,9.655,1016.54,0.0
3,22,2000-08-03 18:00:00,-32.0,24.2,20.6,7.974,1013.3,0.0
3,23,2000-08-04 00:00:00,-32.4,25.0,15.61,9.174,1016.09,0.0
3,24,2000-08-04 06:00:00,-32.4,26.0,15.9,9.122,1016.04,0.0
4,1,2000-07-27 18:00:00,-34.0,11.0,17.12,9.37,1011.89,0.0
4,2,2000-07-28 00:00:00,-36.6,11.6,14.1,9.117,1013.1,0.0
4,3,2000-07-28 06:00:00,-37.6,8.8,18.73,8.113,1012.26,0.0
4,4,2000-07-28 12:00:00,-37.2,8.6,18.41,10.033,1013.3,0.0
4,5,2000-07-28 18:00:00,-39.2,11.2,21.88,9.874,1012.86,0.0
4,6,2000-07-29 00:00:00,-40.8,11.4,29.99,11.055,1013.62,0.0
4,7,2000-07-29 06:00:00,-42.6,11.4,34.97,12.3,1012.11,0.0
4,8,2000-07-29 12:00:00,-44.8,11.6,40.24,13.718,1012.7,0.0
4,9,2000-07-29 18:00:00,-46.8,11.8,39.36,13.19,1011.61,0.0
4,10,2000-07-30 00:00:00,-48.8,11.8,34.92,14.382,1012.59,0.0
4,11,2000-07-30 06:00:00,-51.0,11.8,40.36,14.749,1011.14,0.0
4,12,2000-07-30 12:00:00,-53.6,12.0,38.36,14.953,1012.63,0.0
4,13,2000-07-30 18:00:00,-57.4,12.2,45.67,15.15,1010.93,0.0
4,14,2000-07-31 00:00:00,-60.0,12.4,63.18,17.463,1010.28,0.0
4,15,2000-07-31 06:00:00,-62.8,12.8,58.14,18.469,1009.28,1.0
4,16,2000-07-31 12:00:00,-65.6,13.2,69.71,18.898,1009.92,1.0
4,17,2000-07-31 18:00:00,-68.0,13.8,69.2,18.983,1008.24,1.0
4,18,2000-08-01 00:00:00,-70.6,14.4,76.39,21.736,1008.39,1.0
4,19,2000-08-01 06:00:00,-73.6,14.4,65.55,20.009,1006.77,1.0
4,20,2000-08-01 12:00:00,-76.2,14.6,50.91,18.826,1008.16,0.0
4,21,2000-08-01 18:00:00,-78.6,14.6,41.17,15.578,1008.11,0.0
4,22,2000-08-02 00:00:00,-80.4,14.4,39.22,14.501,1008.21,0.0
4,23,2000-08-02 06:00:00,-82.6,14.4,53.75,17.222,1006.36,0.0
4,24,2000-08-02 12:00:00,-84.0,14.4,87.1,16.242,1005.99,0.0
4,25,2000-08-02 18:00:00,-85.8,14.6,77.45,14.208,1007.18,0.0
4,26,2000-08-03 00:00:00,-87.6,14.8,62.14,16.513,1007.61,0.0
4,27,2000-08-03 06:00:00,-89.2,15.2,69.76,15.132,1007.63,0.0
4,28,2000-08-03 12:00:00,-90.6,15.8,60.03,14.157,1006.81,0.0
4,29,2000-08-03 18:00:00,-92.0,14.4,48.14,16.421,1006.77,0.0
4,30,2000-08-04 00:00:00,-94.6,15.6,96.78,12.634,1007.96,0.0
4,31,2000-08-04 06:00:00,-95.2,15.6,75.54,14.268,1007.16,0.0
4,32,2000-08-04 12:00:00,-95.8,16.2,36.23,13.27,1007.23,0.0
5,1,2000-08-06 18:00:00,-52.8,18.0,10.21,12.532,1014.38,0.0
5,2,2000-08-07 00:00:00,-55.0,18.4,13.3,13.238,1013.48,0.0
5,3,2000-08-07 06:00:00,-57.0,19.0,11.54,12.151,1014.84,0.0
5,4,2000-08-07 12:00:00,-58.6,19.8,18.39,13.067,1013.58,0.0
5,5,2000-08-07 18:00:00,-60.6,20.6,33.32,14.181,1014.4,0.0
5,6,2000-08-08 00:00:00,-62.8,21.0,44.28,14.985,1012.76,0.0
5,7,2000-08-08 06:00:00,-64.8,21.6,44.79,16.908,1012.14,0.0
5,8,2000-08-08 12:00:00,-67.2,22.0,51.9,16.811,1009.58,0.0
5,9,2000-08-08 18:00:00,-69.2,22.6,55.15,17.75,1009.02,0.0
5,10,2000-08-09 00:00:00,-70.8,23.0,61.66,16.704,1007.43,0.0
5,11,2000-08-09 06:00:00,-72.0,23.4,76.88,18.823,1005.7,0.0
5,12,2000-08-09 12:00:00,-73.0,24.2,103.21,22.954,1000.68,0.0
5,13,2000-08-09 18:00:00,-74.0,25.0,131.79,25.463,996.94,1.0
5,14,2000-08-10 00:00:00,-74.8,25.8,172.8,31.909,988.21,1.0
5,15,2000-08-10 06:00:00,-75.6,26.4,193.0,37.472,977.91,1.0
5,16,2000-08-10 12:00:00,-76.2,27.0,246.09,46.899,966.0,1.0
5,17,2000-08-10 18:00:00,-76.6,27.4,327.13,56.541,950.77,1.0
5,18,2000-08-11 00:00:00,-77.0,28.0,356.1,57.481,942.65,1.0
5,19,2000-08-11 06:00:00,-77.2,28.6,362.23,57.071,940.16,1.0
5,20,2000-08-11 12:00:00,-77.2,29.0,365.64,56.451,939.71,1.0
5,21,2000-08-11 18:00:00,-77.2,29.6,346.72,62.508,932.2,1.0
6,1,2000-08-11 00:00:00,-5.2,15.8,24.31,8.338,1009.59,0.0
6,2,2000-08-11 06:00:00,-5.6,11.8,16.89,8.356,1011.46,0.0
6,3,2000-08-11 12:00:00,-6.6,11.4,37.8,8.66,1009.64,0.0
6,4,2000-08-11 18:00:00,-7.4,11.2,37.83,7.148,1006.54,0.0
6,5,2000-08-12 00:00:00,-8.8,11.0,24.4,9.088,1007.49,0.0
6,6,2000-08-12 06:00:00,-11.0,10.4,31.58,9.688,1011.41,0.0
6,7,2000-08-12 12:00:00,-16.0,7.8,27.86,10.556,1010.58,0.0
6,8,2000-08-12 18:00:00,-20.4,7.4,16.82,9.12,1012.16,0.0
6,9,2000-08-13 00:00:00,-23.2,6.6,20.51,10.661,1011.95,0.0
6,10,2000-08-13 06:00:00,-23.2,6.8,20.84,11.452,1011.5,0.0
6,11,2000-08-13 12:00:00,-22.8,7.6,17.77,11.232,1011.39,0.0
6,12,2000-08-13 18:00:00,-22.0,9.0,32.63,11.438,1011.51,0.0
6,13,2000-08-14 00:00:00,-21.0,10.4,32.18,10.815,1012.88,0.0
6,14,2000-08-14 06:00:00,-21.4,10.4,30.91,11.697,1013.21,0.0
6,15,2000-08-14 12:00:00,-25.6,10.8,33.2,9.87,1013.8,0.0
6,16,2000-08-14 18:00:00,-31.0,12.4,13.62,10.037,1013.14,0.0
6,17,2000-08-15 00:00:00,-33.0,13.6,14.33,10.406,1013.89,0.0
6,18,2000-08-15 06:00:00,-34.6,13.4,26.85,10.931,1012.61,0.0
6,19,2000-08-15 12:00:00,-35.6,13.2,31.74,12.029,1013.29,0.0
6,20,2000-08-15 18:00:00,-36.6,13.2,39.05,11.659,1011.99,0.0
6,21,2000-08-16 00:00:00,-37.6,13.2,36.54,11.594,1012.26,0.0
6,22,2000-08-16 06:00:00,-38.6,13.6,43.53,12.237,1010.87,0.0
6,23,2000-08-16 12:00:00,-39.8,14.0,54.14,14.38,1010.93,0.0
6,24,2000-08-16 18:00:00,-41.2,14.4,63.89,15.882,1009.08,0.0
6,25,2000-08-17 00:00:00,-43.0,14.6,82.29,18.09,1008.33,0.0
6,26,2000-08-17 06:00:00,-44.8,14.8,105.3,21.016,1004.68,1.0
6,27,2000-08-17 12:00:00,-46.8,15.0,133.46,23.606,1003.26,1.0
6,28,2000-08-17 18:00:00,-48.6,15.4,164.24,26.559,1000.18,1.0
6,29,2000-08-18 00:00:00,-50.2,15.8,162.16,27.358,1000.41,1.0
6,30,2000-08-18 06:00:00,-51.8,16.2,180.3,29.918,996.9,1.0
6,31,2000-08-18 12:00:00,-53.4,17.0,213.82,30.588,996.73,1.0
6,32,2000-08-18 18:00:00,-55.0,17.6,216.55,32.524,992.84,1.0
6,33,2000-08-19 00:00:00,-56.6,18.4,235.74,34.035,990.33,1.0
6,34,2000-08-19 06:00:00,-58.4,18.8,274.66,39.44,984.94,1.0
6,35,2000-08-19 12:00:00,-59.8,19.6,247.05,38.824,984.82,1.0
6,36,2000-08-19 18:00:00,-61.2,20.2,302.86,42.453,979.29,1.0
6,37,2000-08-20 00:00:00,-62.4,21.0,311.78,42.602,979.04,1.0
6,38,2000-08-20 06:00:00,-63.8,21.6,287.75,45.223,975.15,1.0
6,39,2000-08-20 12:00:00,-65.0,22.4,272.72,42.797,978.91,1.0
6,40,2000-08-20 18:00:00,-65.8,23.6,298.7,44.202,976.84,1.0
6,41,2000-08-21 00:00:00,-66.8,24.6,332.14,45.403,972.68,1.0
6,42,2000-08-21 06:00:00,-67.2,25.8,319.86,46.746,971.44,1.0
6,43,2000-08-21 12:00:00,-67.6,27.0,327.37,45.225,968.26,1.0
6,44,2000-08-21 18:00:00,-67.2,28.0,352.1,48.952,962.2,1.0
6,45,2000-08-22 00:00:00,-66.6,29.0,346.16,48.988,959.14,1.0
6,46,2000-08-22 06:00:00,-65.8,29.6,351.45,50.72,956.45,1.0
